0.28,0,-0.22935
0.58,0.7,6.144
0.72,0.43,4.0483
0.7,0.39,3.6154
0.98,0.15,2.5383
0,0.94,10.467
0.65,0.77,7.1201
0.74,0.09,0.90546
0.89,0,0.68308
0.43,0.84,7.5292
0.56,0.22,1.2669
0.39,0.53,4.4421
0.1,0.81,8.9446
0.02,0.04,1.3883
0.99,0.94,10.373
0.58,0.08,-0.0044429
0.35,0.97,8.9778
0.96,0.99,10.823
0.71,0.06,0.36834
0.58,0.84,7.5257
0.47,0.84,7.4665
0.36,0.38,3.0931
0.48,0.05,-0.48466
0.02,0.31,4.1482
0.15,0.5,5.6992
0.12,0.53,5.9875
1,0.01,1.0987
0.53,0.81,7.1238
0.3,0.63,6.0433
0.55,0.09,-0.01627
0.87,0.7,7.6453
0.69,0.97,9.3034
0.56,0.33,2.4302
0.53,0.13,0.38606
0.58,0.76,6.7739
0.8,0.12,1.4508
0.18,0.25,2.8869
0.46,0.57,4.8296
0.69,0.77,7.4185
0.2,0.12,1.4771
0.21,0.05,0.68439
0.81,0.04,0.73334
0.27,0.98,9.7349
0.27,0.9,8.8903
0.91,0.77,8.5717
0.53,0.61,5.078
0.15,0.45,4.9088
0.1,0.79,8.6985
0.13,0.38,4.5125
0.87,0.02,0.86212
0.36,0.59,5.1996
0.58,0.63,5.5047
0.85,0.23,2.9228
0.66,0.98,9.2321
0.92,0.13,2.1382
0.26,0.58,5.7447
0.85,0.67,7.262
0.56,0.04,-0.51783
0.75,0.77,7.7615
0.05,0.29,3.8205
0.5,0.71,6.0605
0.95,0.97,10.614
0.92,0.25,3.4222
0.99,0.81,9.0442
0.51,0.8,7.0543
0.2,0.43,4.7187
0.24,0.73,7.3276
0.32,0.04,-0.09267
0.53,0.39,2.9042
0.08,0.85,9.3385
0.2,0.74,7.7476
0.91,0.82,8.9823
0.38,0.24,1.7255
0.46,0.06,-0.35873
0.11,0.92,9.9455
0.48,0.4,3.0288
0.84,0.21,2.5784
0.07,1,11.071
0.44,0.57,4.6965
0.27,0.88,8.6623
0.12,0.71,7.7997
0.93,0.12,2.074
0.86,0.21,2.6577
0.91,0.39,4.796
0.93,0.3,3.9222
0.49,0.31,2.0442
0.01,0.32,4.2115
0.34,0.06,0.14919
0.56,0.34,2.5141
0.1,0.4,4.849
0.87,0.73,7.9508
0.95,0.98,10.71
0.77,0.48,4.9961
0.34,0.3,2.4434
0.14,0.73,7.9818
0.79,0.11,1.3799
0.05,0.45,5.4456
0.51,0.44,3.3698
0.51,0.36,2.7313
0.26,0.15,1.3787
0.52,0.16,0.5302
0.42,0.6,5.0156
0.3,0.89,8.608
0,0.14,2.3994
0.85,0.07,1.3066
0.51,0.83,7.3224
0.15,0.64,6.9656
0.05,0.3,3.9427
0.54,0.89,7.9631
0.13,0.48,5.4718
0.14,0.28,3.5129
0.09,0.18,2.7034
0.08,0.71,7.9936
0.16,0.34,3.959
0.1,0.12,2.0359
0.41,0.19,1.1034
0.11,0.91,9.9258
0.97,0.36,4.6192
0.37,0.72,6.5093
0.6,0.33,2.4695
0.68,0.57,5.3185
0.42,0.76,6.7725
0.3,0.92,8.8513
0.61,0.61,5.305
0.79,1,10.356
0.53,0.73,6.2537
0.87,0.25,3.1416
0.12,0.05,1.2649
0.25,0.49,4.9323
0.59,0.02,-0.51304
0.06,0.75,8.3354
0,0.78,8.671
0.59,0.26,1.7534
0.74,0.3,2.9868
0.59,0.19,1.0805
0.99,0.63,7.3685
0.57,0.42,3.3088
0.67,0.36,3.1473
0.35,0.46,4.0545
0.8,0.93,9.5978
0.82,0.07,1.2171
0.6,0.3,2.2362
0.68,0.62,5.7706
0.63,0.23,1.6784
0.27,1,9.9037
0.9,0.09,1.6461
0.02,0.67,7.5968
1,0.92,10.222
0.53,0.97,8.7404
0.49,0.44,3.3252
0.22,0.98,9.9957
0.19,0.13,1.6038
0.31,0.27,2.3581
0.71,0.97,9.3872
0.17,0.93,9.876
0.48,0.61,5.0347
0.72,1,9.8412
0.92,0.47,5.649
0.94,0.1,2.0145
0.1,0.34,4.1134
0.43,0.49,3.9591
0.9,0.47,5.5414
0.13,0.22,2.741
0.14,0.03,0.90296
0.94,0.26,3.4724
0.61,0.64,5.5941
0.17,0.34,3.9043
0.19,0.79,8.2079
